834,834,834,834,834,834,834,834,834,834,,834,,832
67,IHS_LAG_1364A,CO-210030,Lagos,Upgrade/Colo,Airtel,2G,05-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,BOLAMARK ENGINEERING LIMITED
68,IHS_KAN_0866A,UC-201676,Kano,Upgrade/Colo,Airtel,FE,13-Sep-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,BOLAMARK ENGINEERING LIMITED
69,IHS_KAT_0827A,UC-216504,Kano,Upgrade/Colo,Airtel,FE,17-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
70,IHS_LAG_0272B,UC-210981,Lagos,Upgrade/Colo,Airtel,IPRAN,03-Oct-22,Q4'22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IENGINEERING NIGERIA LIMITED
71,IHS_OGN_1334A,UC-216629,Lagos,Upgrade/Colo,Airtel,IPRAN,23-Sep-22,Q3 '22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,IENGINEERING NIGERIA LIMITED
72,IHS_LAG_0612B,UC-216883,Lagos,Upgrade/Colo,Airtel,LTE 2600,05-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,EZZENTIAL GLOBAL SERVICES
73,IHS_LAG_1027A,UC-214122,Lagos,Upgrade/Colo,Airtel,LTE 2600,12-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IENGINEERING NIGERIA LIMITED
74,IHS_KAT_0848A,UC-185044,Kano,Upgrade/Colo,Airtel,MW,13-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,FARALIM GLOBAL SERVICES NIGERIA LIMITED
75,IHS_ABJ_1587H,UC-211781,Abuja,Upgrade/Colo,Airtel,MW,16-Sep-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,AR-SAEED INTERNATIONAL SERVICES LIMITED
76,IHS_LAG_0910E,UC-217023,Lagos,Upgrade/Colo,Airtel,MW,30-Sep-22,Q3 '22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,BOLAMARK ENGINEERING LIMITED
77,IHS_OGN_1335A,UC-217045,Lagos,Upgrade/Colo,Airtel,MW,17-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,DOMITECH ENGINEERING SERVICES LIMITED
78,IHS_LAG_3323C,UC-215840,Lagos,Upgrade/Colo,MTN,5G,27-Sep-22,Q3 '22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,Shenymann Projectplus Ltd
79,IHS_LAG_1653A_New,UC-215851,Lagos,Upgrade/Colo,MTN,5G,06-Oct-22,Q4'22,BOQ Approved and Power Upgrade Not Required,BOQ Approved and Power Upgrade Not Required,NQA,NQA,Bedrock Multifunctions Limited
80,IHS_LAG_0748E,UC-215842,Lagos,Upgrade/Colo,MTN,5G,11-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,IENGINEERING NIGERIA LIMITED
81,IHS_LAG_3412B,UC-215853,Lagos,Upgrade/Colo,MTN,5G,27-Sep-22,Q3 '22,TLA Report and Power Analysis Submitted,TLA Report and Power Analysis Submitted,SBC,SBC,Shenymann Projectplus Ltd
82,IHS_LAG_0926E,UC-215843,Lagos,Upgrade/Colo,MTN,5G,06-Oct-22,Q4'22,TLA Failed and Power Analysis Submitted,TLA Failed and Power Analysis Submitted,Infra Manager (PMO),Infra Manager,Bedrock Multifunctions Limited
83,IHS_LAG_0049B,UC-215863,Lagos,Upgrade/Colo,MTN,5G,05-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,LAFRED ENGINEERING COMPANY LIMITED
84,IHS_LAG_1364A,UC-215854,Lagos,Upgrade/Colo,MTN,5G,05-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,BOLAMARK ENGINEERING LIMITED
85,IHS_LAG_0730E,UC-215844,Lagos,Upgrade/Colo,MTN,5G,03-Oct-22,Q4'22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,BOLAMARK ENGINEERING LIMITED
86,IHS_LAG_0002B,UC-215838,Lagos,Upgrade/Colo,MTN,5G,05-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,GLOVTEX TELECOMMUNICATION LIMITED
87,IHS_LAG_3931H_New,UC-215880,Lagos,Upgrade/Colo,MTN,5G,03-Oct-22,Q4'22,RFI Acknowledged by Rollout Project Manager,RFI Acknowledged by KAM,KAM,KAM,IHS
88,IHS_LAG_3142B,UC-215911,Lagos,Upgrade/Colo,MTN,5G,27-Sep-22,Q3 '22,RFI Acknowledged by KAM,RFI Acknowledged by KAM,Closed,KAM,IENGINEERING NIGERIA LIMITED
89,IHS_LAG_1734A,UC-215941,Lagos,Upgrade/Colo,MTN,5G,03-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,NUVERAS TECHNOLOGIES LIMITED
90,IHS_LAG_3767H,UC-216187,Lagos,Upgrade/Colo,MTN,5G,19-Sep-22,Q3 '22,FAC Completed and Equipment On Air,FAC Completed and Equipment On Air,Closed,Regional Rollout Manager,IENGINEERING NIGERIA LIMITED
91,IHS_LAG_0016B,UC-215916,Lagos,Upgrade/Colo,MTN,5G,03-Oct-22,Q4'22,Retrofit Decision and Power Analysis Submitted,Retrofit Decision and Power Analysis Submitted,Infra Manager (PMO),SBC,BOLAMARK ENGINEERING LIMITED
